"","CUI","SDUI.x","CODE.y","STR.x"
"1","C0009818","D012017","1013686","Consultations"
"2","C0087111","D013812","97139","Therapeutic"
"3","C0007876","D002585","59514","Abdominal Deliveries"
"4","C0007876","D002585","1008991","Abdominal Deliveries"
"5","C0037806","D013054","82190","Absorption Spectrophotometry, Atomic"
"6","C0041626","D014467","96900","Actinotherapies"
"7","C0394664","D015670","97811","Acupuncture Therapy"
"8","C0394664","D015670","97810","Acupuncture Therapy"
"9","C0394664","D015670","1013552","Acupuncture Therapy"
"10","C0002388","D000541","41830","Alveolectomies"
"11","C0002388","D000541","41830","Alveolectomy"
"12","C0002393","D000543","41874","Alveoloplasties"
"13","C0002393","D000543","41874","Alveoloplasty"
"14","C0002627","D000649","59000","Amniocenteses"
"15","C0002627","D000649","1008945","Amniocenteses"
"16","C0002627","D000649","59000","Amniocentesis"
"17","C0002627","D000649","1008945","Amniocentesis"
"18","C0005800","D001784","82805","Analyses, Blood Gas"
"19","C0005800","D001784","82803","Analyses, Blood Gas"
"20","C0037813","D013058","83789","Analyses, Mass Spectrum"
"21","C0032716","D011167","37140","Anastomoses, Portacaval"
"22","C0002903","D000758","01999","Anesthesia"
"23","C0002903","D000758","1014043","Anesthesia"
"24","C0002903","D000758","1002796","Anesthesia"
"25","C0002922","D000773","1003124","Anesthesia, Obstetrical"
"26","C0005791","D001781","1006686","Aphereses"
"27","C0003611","D001062","44950","Appendectomies"
"28","C0003611","D001062","44955","Appendectomies"
"29","C0003611","D001062","1014622","Appendectomies"
"30","C0003611","D001062","1007583","Appendectomies"
"31","C0003611","D001062","44950","Appendectomy"
"32","C0003611","D001062","44955","Appendectomy"
"33","C0003611","D001062","1014622","Appendectomy"
"34","C0003611","D001062","1007583","Appendectomy"
"35","C0003881","D001174","1005512","Arthrodeses"
"36","C0003881","D001174","1005512","Arthrodesis"
"37","C0086511","D019645","27440","Arthroplasty, Replacement, Knee"
"38","C0086511","D019645","27443","Arthroplasty, Replacement, Knee"
"39","C0086511","D019645","27446","Arthroplasty, Replacement, Knee"
"40","C0086511","D019645","27447","Arthroplasty, Replacement, Knee"
"41","C0086511","D019645","27441","Arthroplasty, Replacement, Knee"
"42","C0086511","D019645","27442","Arthroplasty, Replacement, Knee"
"43","C0003904","D001182","29999","Arthroscopies"
"44","C0003904","D001182","29999","Arthroscopy"
"45","C0021587","D007315","1008854","Artificial Inseminations"
"46","C0032328","D011031","32960","Artificial Pneumothorax"
"47","C0032328","D011031","32960","Artificial Pneumothoraxs"
"48","C0031152","D010536","49425","Ascites Shunts, Peritoneovenous"
"49","C0004398","D001344","88000","Autopsy"
"50","C0004398","D001344","1012349","Autopsy"
"51","C0036782","D015610","87197","Bactericidal Test, Serum"
"52","C0036782","D015610","87197","Bactericidal Tests, Serum"
"53","C0004288","D001301","1012906","Bekesy Audiometry"
"54","C0008509","D015193","59015","Biopsies, Chorionic Villi"
"55","C0085142","D016550","1021885","Birth Center"
"56","C0085142","D016550","1021885","Birthing Center"
"57","C0085142","D016550","1021885","Birthing Centers"
"58","C0021917","D000283","51700","Bladder Instillation"
"59","C0021917","D000283","51700","Bladder Instillations"
"60","C0005729","D001760","85002","Bleeding Time"
"61","C0005729","D001760","85002","Bleeding Times"
"62","C0005771","D001772","1011761","Blood Cell Count"
"63","C0005771","D001772","1011761","Blood Cell Counts"
"64","C0005771","D001772","1011761","Blood Cell Numbers"
"65","C0005790","D001780","1011784","Blood Coagulation Test"
"66","C0005790","D001780","1011784","Blood Coagulation Tests"
"67","C0005791","D001781","1006686","Blood Component Removal"
"68","C0005791","D001781","1006686","Blood Component Removals"
"69","C0085430","D016913","36430","Blood Component Transfusion"
"70","C0085430","D016913","36430","Blood Component Transfusions"
"71","C0005800","D001784","82805","Blood Gas Analyses"
"72","C0005800","D001784","82803","Blood Gas Analyses"
"73","C0005800","D001784","82805","Blood Gas Analysis"
"74","C0005800","D001784","82803","Blood Gas Analysis"
"75","C0032202","D010983","36513","Blood Plateletphereses"
"76","C0005841","D001803","36430","Blood Transfusion"
"77","C0005843","D001805","36460","Blood Transfusion, Intrauterine"
"78","C0005843","D001805","36460","Blood Transfusions, Intrauterine"
"79","C0005845","D001806","84520","Blood Urea Nitrogen"
"80","C0005845","D001806","80069","Blood Urea Nitrogen"
"81","C0005845","D001806","80048","Blood Urea Nitrogen"
"82","C0005845","D001806","80047","Blood Urea Nitrogen"
"83","C0005857","D001815","99195","Bloodletting"
"84","C0005976","D016025","20902","Bone Grafting"
"85","C0005976","D016025","20900","Bone Grafting"
"86","C0005976","D016025","20902","Bone Transplantation"
"87","C0005976","D016025","20900","Bone Transplantation"
