"","HCPCS.Code","jump","increase","HCPCS.Description","year","count"
"1","0159T",3.24659653465347,224.659653465347,"Computer-aided detection and computer algorithm analysis of breast MRI image data","2012",3232
"2","0191T",59.1206030150754,5812.06030150754,"Internal insertion of eye fluid drainage device","2012",597
"3","0249T",2.37724550898204,137.724550898204,"Suturing hemorrhoids using ultrasound guidance","2012",167
"4","0281T",6.26086956521739,526.086956521739,"Catheter-delivered implant to left upper heart chamber for appendage closure using imaging","2012",46
"5","0281T",6.26086956521739,526.086956521739,"Radiological supervision and interpretation of catheter-delivered implant (accessed through the skin) to left upper heart chamber for appendage closure","2012",46
"6","0297T",2.62162162162162,162.162162162162,"Ext ecg scan w/report","2012",37
"7","0297T",2.62162162162162,162.162162162162,"Analysis and report of external EKG recording for more than 48 hours up to 21 days","2012",37
"8","0298T",7.70022497187851,670.022497187852,"Ext ecg review and interp","2012",1778
"9","0298T",7.70022497187851,670.022497187852,"Review and interpretation of external EKG recording for more than 48 hours up to 21 days","2012",1778
"10","0308T",6.23076923076923,523.076923076923,"Insj ocular telescope prosth","2012",13
"11","0308T",6.23076923076923,523.076923076923,"Insertion of prosthetic telescope in eye for the treatment of central vision","2012",13
"12","102",2.33707865168539,133.707865168539,"Anesthesia for procedure to repair lip defect present at birth","2012",89
"13","11980",2.0337552742616,103.37552742616,"Insertion of hormone pellets into tissue","2012",237
"14","11980",2.0337552742616,103.37552742616,"Insertion of hormone pellets beneath the skin","2012",237
"15","15110",3.57142857142857,257.142857142857,"Skin graft at trunk, arms, or legs (first 100 sq cm or less, or 1% body area of infants and children)","2012",203
"16","15860",2.25739320920044,125.739320920044,"Injection of agent into vein to assess blood flow of skin graft or flap","2012",913
"17","15877",2.125,112.5,"Suction assisted removal of fat from trunk","2012",16
"18","17108",3.2,220,"Destruction of skin growth (over 50.0 sq centimeters)","2012",50
"19","1925",2.1864406779661,118.64406779661,"Anesthesia for X-ray procedure on neck or heart artery","2012",5192
"20","1933",2.07142857142857,107.142857142857,"Anesthesia for X-ray procedure of brain vein or lymph system","2012",56
"21","1933",2.07142857142857,107.142857142857,"Anesthesia for X-ray procedure on brain vein","2012",56
"22","20500",2.54166666666667,154.166666666667,"Injection for repair of abnormal muscle drainage tract","2012",504
"23","20982",3.12977099236641,212.977099236641,"Destruction of bone growth using CT guidance","2012",131
"24","20982",3.12977099236641,212.977099236641,"Destruction of bone growths using CT guidance, accessed through the skin","2012",131
"25","20982",3.12977099236641,212.977099236641,"Destruction of 1 or more bone growths accessed through the skin","2012",131
"26","21445",3.88461538461538,288.461538461538,"Open surgical treatment of broken jaw or cheek bone","2012",26
"27","21445",3.88461538461538,288.461538461538,"Open treatment of broken jaw or cheek bone","2012",26
"28","22856",4.39285714285714,339.285714285714,"Insertion of artificial spine disc","2012",140
"29","22856",4.39285714285714,339.285714285714,"Insertion of artificial upper spine disc, anterior approach","2012",140
"30","24301",2.32549019607843,132.549019607843,"Relocation of muscle or tendon of upper arm or elbow","2012",255
"31","25430",2.18181818181818,118.181818181818,"Insertion of vascular bone graft into wrist bone","2012",11
"32","27391",2.16438356164384,116.438356164384,"Repair of multiple hamstring tendons","2012",73
"33","27391",2.16438356164384,116.438356164384,"Repair of multiple hamstring tendons, open procedure","2012",73
"34","27394",2.73263888888889,173.263888888889,"Lengthening of multiple hamstring tendons in one leg","2012",288
"35","27443",3.26666666666667,226.666666666667,"Repair of knee joint","2012",60
"36","29086",2.41666666666667,141.666666666667,"Application of cast to finger","2012",12
"37","29851",2.66666666666667,166.666666666667,"Treatment of knee joint fracture with assistance of an endoscope","2012",15
"38","29851",2.66666666666667,166.666666666667,"Treatment of knee joint fractures with assistance of an endoscope with fixation","2012",15
"39","29855",3.49469964664311,249.469964664311,"Treatment of broken leg bone with assistance of an endoscope","2012",283
"40","29856",2.32142857142857,132.142857142857,"Treatment of broken leg bone with assistance of an endoscope","2012",28
"41","31297",2.00875273522976,100.875273522976,"Dilation of nasal sinus using an endoscope","2012",457
"42","31627",2.07420573205954,107.420573205954,"Computer-assisted image-guided navigation of lung airways using an endoscope","2012",4501
"43","31760",2.61538461538462,161.538461538462,"Repair of windpipe cartilage by insertion of splint or graft","2012",13
"44","33229",2.19278996865204,119.278996865204,"Removal and replacement of multiple lead permanent pacemaker pulse generator","2012",1914
"45","33282",3.66973574076288,266.973574076288,"Implantation of long-term patient-activated heart monitoring device","2012",8363
"46","33282",3.66973574076288,266.973574076288,"Implantation patient-activated heart monitoring device","2012",8363
"47","33982",5.90909090909091,490.909090909091,"Replacement of lower heart chamber assistive blood flow device","2012",11
"48","33982",5.90909090909091,490.909090909091,"Replacement of lower heart chamber assistive blood flow devices","2012",11
"49","38242",2.02702702702703,102.702702702703,"Transplantation of donor stem cells from bone marrow or blood with infusion of donor white blood cells","2012",74
"50","38794",2.53333333333333,153.333333333333,"Exposure of lymph node of chest cavity","2012",15
"51","42200",2.30769230769231,130.769230769231,"Repair of defect of roof of mouth","2012",13
"52","43237",10.7932960893855,979.329608938547,"Examination of esophagus, stomach, and upper small bowel using an endoscope","2012",895
"53","43237",10.7932960893855,979.329608938547,"Ultrasound examination of esophagus, stomach, and/or upper small bowel using an endoscope","2012",895
"54","43238",11.025787965616,1002.5787965616,"Ultrasound guided needle aspiration or biopsies of esophagus using an endoscope","2012",698
"55","43257",4.31818181818182,331.818181818182,"Heat delivery to muscle at esophagus and stomach to treat gastrict reflux using an endoscope","2012",66
"56","43257",4.31818181818182,331.818181818182,"Heat delivery to muscle at esophagus and stomach to treat gastric reflux using an endoscope","2012",66
"57","43257",4.31818181818182,331.818181818182,"Heat delivery to muscle at esophagus and/or stomach to treat gastric reflux using an endoscope","2012",66
"58","43496",2.08333333333333,108.333333333333,"Relocation of upper small bowel","2012",12
"59","43775",25.4505494505494,2445.05494505494,"Stomach bypass procedure with partial removal of stomach using an endoscope","2012",637
"60","43775",25.4505494505494,2445.05494505494,"Stomach reduction procedure with partial removal of stomach using an endoscope","2012",637
"61","46744",2.53846153846154,153.846153846154,"Repair of defect for single channel outlet of rectum, vagina, and urinary tract","2012",13
"62","46946",2.63843236409608,163.843236409608,"Removal and tying 2 or more hemorrhoid group","2012",1582
"63","47142",3.24,224,"Removal of donor liver right lobe","2012",25
"64","47146",2.125,112.5,"Preparation of donor liver for transplantation","2012",40
"65","50949",2.10196078431373,110.196078431373,"Procedure of duct (ureter) using an endoscope","2012",255
"66","50949",2.10196078431373,110.196078431373,"Urinary duct (ureter) procedure using an endoscope","2012",255
"67","51990",2.71825396825397,171.825396825397,"Suture suspension of bladder canal (urethra) to control leakage using an endoscope","2012",504
"68","534",2.82682521287852,182.682521287852,"Anesthesia for insertion or replace of pacing heart defibrillator","2012",19847
"69","54200",2.17073170731707,117.073170731707,"Injection procedure to correct abnormally-thickened penile tissue","2012",123
"70","54200",2.17073170731707,117.073170731707,"Injection procedure to correct abnormally thickened penile tissue","2012",123
"71","560",2.11935828877005,111.935828877005,"Anesthesia for procedure on heart and great blood vessels","2012",18700
"72","61860",4.09090909090909,309.090909090909,"Implantation of neurostimulator electrodes in brain","2012",11
"73","64430",2.01362862010221,101.362862010221,"Injection of anesthetic agent, pudendal (external genital) nerve","2012",587
"74","64505",2.48433734939759,148.433734939759,"Injection of anesthetic agent, trigeminal nerve bundle","2012",415
"75","64566",2.4708276797829,147.08276797829,"Implantation of lower leg neurostimulator electrode","2012",737
"76","64566",2.4708276797829,147.08276797829,"Implantation of lower leg neurostimulator electrode, accessed through the skin","2012",737
"77","64611",2.29192546583851,129.192546583851,"Injection of chemical for destruction of salivary glands","2012",483
"78","64611",2.29192546583851,129.192546583851,"Injection of chemical for destruction of salivary glands on both sides of the mouth","2012",483
"79","64650",2.24324324324324,124.324324324324,"Injection of chemical for destruction of underarm sweat glands","2012",37
"80","64868",2.06666666666667,106.666666666667,"Connection of nerves to restore function to the face","2012",15
"81","65800",2.28998505231689,128.998505231689,"Aspiration of eye fluid for diagnosis","2012",669
"82","65800",2.28998505231689,128.998505231689,"Aspiration of eye fluid","2012",669
"83","65820",2.84415584415584,184.415584415584,"Incision to improve eye fluid flow","2012",77
"84","66505",5,400,"Incision and drainage of eye fluid accumulation in iris","2012",11
"85","69799",2.02439024390244,102.439024390244,"Middle ear procedure","2012",41
"86","70310",5,400,"X-ray of teeth, less than full mouth","2012",12
"87","70558",2.33333333333333,133.333333333333,"MRI scan of brain with contrast","2012",18
"88","70558",2.33333333333333,133.333333333333,"MRI scan of brain with contrast, during open brain procedure","2012",18
"89","75559",2.2,120,"MRI of heart with stress imaging","2012",30
"90","75571",3.63426488456865,263.426488456865,"CT scan of heart with evaluation of blood vessel calcium","2012",1646
"91","75572",2.08177881412392,108.177881412392,"CT scan of heart structure","2012",6004
"92","75572",2.08177881412392,108.177881412392,"CT scan of heart structure with contrast","2012",6004
"93","75807",2.96774193548387,196.774193548387,"Imaging of lymphatic tissue of pelvis and abdomen","2012",31
"94","75807",2.96774193548387,196.774193548387,"Radiological supervision and interpretation of imaging of lymphatic system of both side of pelvis and abdomen","2012",31
"95","76497",2.39393939393939,139.393939393939,"CT scan","2012",33
"96","76977",3.25,225,"Ultrasound of bone density measurement","2012",12
"97","77071",2.06917475728155,106.917475728155,"Imaging of joint with stressing by physician","2012",824
"98","77399",3.35294117647059,235.294117647059,"Management of radiation therapy","2012",68
"99","77605",3.89189189189189,289.189189189189,"External hyperthermia treatment depth greater than 4 cm","2012",37
"100","78492",2.05628502802242,105.628502802242,"Nuclear medicine study heart muscle at rest and/or stress multiple studies","2012",12490
"101","78599",3.82352941176471,282.352941176471,"Nuclear medicine study of respiratory systems","2012",34
"102","78999",4.71515151515151,371.515151515152,"Diagnostic nuclear medicine procedures","2012",165
"103","79101",6.35030549898167,535.030549898167,"Radioactive material therapy into vein","2012",491
"104","79445",3.34122562674095,234.122562674095,"Radioactive material therapy into artery","2012",718
"105","80048",2.95297555791711,195.297555791711,"Blood test, basic group of blood chemicals","2012",7528
"106","80051",8.79329608938547,779.329608938547,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)","2012",179
"107","80053",2.05715859030837,105.715859030837,"Blood test, comprehensive group of blood chemicals","2012",9080
"108","80164",2.78105141536684,178.105141536684,"Dipropylacetic acid (valproic acid) level","2012",1731
"109","80164",2.78105141536684,178.105141536684,"Valproic acid level","2012",1731
